128,    1.3361e-06
139,    1.14616e-06,    1.85993
152,    9.68727e-07,    1.88118
165,    8.28892e-07,    1.89962
181,    6.94263e-07,    1.91502
197,    5.89628e-07,    1.92853
215,    4.97658e-07,    1.9395
234,    4.2198e-07,     1.9479
256,    3.53952e-07,    1.95643
279,    2.98933e-07,    1.96366
304,    2.52474e-07,    1.9683
331,    2.13469e-07,    1.97221
362,    1.78834e-07,    1.97747
394,    1.51184e-07,    1.98287
430,    1.27113e-07,    1.9834
469,    1.06975e-07,    1.98667
512,    8.9842e-08,     1.98977
558,    7.57684e-08,    1.98028
608,    6.37742e-08,    2.00817
663,    5.36793e-08,    1.98983
724,    4.50158e-08,    1.99978
789,    3.78977e-08,    2.00203
861,    3.18198e-08,    2.00165
939,    2.67857e-08,    1.98591
1024,   2.24689e-08,    2.02797